index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
21,face,high,png,100,street photography shot,candlelight,,,North African,,elderly,person,hospital corridor,face on a screen within the image,,"A street photography shot of a elderly North African person in hospital corridor, with candlelight, face on a screen within the image"
22,face,low,webp,90,mugshot-style photo,nighttime artificial lighting,inconsistent shadows,,Pacific Islander,light skin,middle-aged,man,rooftop with skyline,,,"A mugshot-style photo of a middle-aged Pacific Islander man with light skin in rooftop with skyline, with nighttime artificial lighting, inconsistent shadows"
23,face,high,jpeg,62,photo with Instagram-style filter applied,dappled shade under trees,,,Eastern European,,young,woman,gym or fitness center,,,"A photo with Instagram-style filter applied of a young Eastern European woman in gym or fitness center, with dappled shade under trees"
24,face,low,jpeg,31,Polaroid instant photo,blue hour twilight,heavy noise or grain,,Eastern European,very dark skin,middle-aged,woman,outdoor park,,,"A Polaroid instant photo of a middle-aged Eastern European woman with very dark skin in outdoor park, with blue hour twilight, heavy noise or grain"
25,nature,low,webp,62,DSLR photo,nighttime artificial lighting,chromatic aberration,,,,,,,,a row of parked cars on a residential street,"A DSLR photo of a row of parked cars on a residential street, with nighttime artificial lighting, chromatic aberration"
26,face,low,jpeg,57,mirrorless camera photo,harsh overhead fluorescent lighting,heavy JPEG compression artifacts,as if shared on WhatsApp with compression,East Asian,,young,person,hospital corridor,wearing sunglasses,,"A mirrorless camera photo of a young East Asian person in hospital corridor, with harsh overhead fluorescent lighting, heavy JPEG compression artifacts, wearing sunglasses, as if shared on WhatsApp with compression"
27,nature,high,png,100,disposable camera photo,screen-lit in a dark room,chromatic aberration,,,,,,,,a neon-lit street in a city at night,"A disposable camera photo of a neon-lit street in a city at night, with screen-lit in a dark room, chromatic aberration"
28,face,medium,png,100,documentary-style photo,direct flash,digital zoom pixelation,as if shared on Twitter with reduced resolution,Latino,very light skin,young,man,hospital corridor,extreme close-up,,"A documentary-style photo of a young Latino man with very light skin in hospital corridor, with direct flash, digital zoom pixelation, extreme close-up, as if shared on Twitter with reduced resolution"
29,face,low,png,100,livestream thumbnail capture,blue hour twilight,digital zoom pixelation,,African American,olive skin,middle-aged,woman,rooftop with skyline,face mid-expression with motion blur,,"A livestream thumbnail capture of a middle-aged African American woman with olive skin in rooftop with skyline, with blue hour twilight, digital zoom pixelation, face mid-expression with motion blur"
30,scene,high,jpeg,55,large format film photo,blue hour twilight,lens distortion,,,,,,,,a protest march with crowds,"A large format film photo of a protest march with crowds, with blue hour twilight, lens distortion"
31,face,medium,jpeg,57,selfie,dappled shade under trees,overexposed highlights,as if downloaded from Instagram,Southeast Asian,,elderly,man,bedroom,multiple faces overlapping,,"A selfie of a elderly Southeast Asian man in bedroom, with dappled shade under trees, overexposed highlights, multiple faces overlapping, as if downloaded from Instagram"
32,face,medium,jpeg,54,disposable camera photo,very low ambient light,slight motion blur,,East African,dark brown skin,elderly,man,elevator,,,"A disposable camera photo of a elderly East African man with dark brown skin in elevator, with very low ambient light, slight motion blur"
33,face,medium,png,100,photo of a screen showing another image,direct flash,lens distortion,,Central Asian,,middle-aged,woman,busy street,face through glass,,"A photo of a screen showing another image of a middle-aged Central Asian woman in busy street, with direct flash, lens distortion, face through glass"
34,face,medium,webp,36,selfie,harsh overhead fluorescent lighting,color banding,,Latino,,young,person,dimly lit room,extreme close-up,,"A selfie of a young Latino person in dimly lit room, with harsh overhead fluorescent lighting, color banding, extreme close-up"
35,face,high,webp,82,medical clinical photo,backlit with rim lighting,inconsistent shadows,,Latino,dark brown skin,elderly,man,home interior,,,"A medical clinical photo of a elderly Latino man with dark brown skin in home interior, with backlit with rim lighting, inconsistent shadows"
36,nature,medium,jpeg,46,street photography shot,backlit with rim lighting,inconsistent shadows,as if shared on Twitter with reduced resolution,,,,,,,a row of parked cars on a residential street,"A street photography shot of a row of parked cars on a residential street, with backlit with rim lighting, inconsistent shadows, as if shared on Twitter with reduced resolution"
37,face,high,png,100,low quality compressed webcam image,neon lighting,color banding,as if screenshotted from TikTok,Southern European,,young,person,stairwell,face partially in shadow,,"A low quality compressed webcam image of a young Southern European person in stairwell, with neon lighting, color banding, face partially in shadow, as if screenshotted from TikTok"
38,nature,medium,jpeg,98,ATM security camera image,harsh overhead fluorescent lighting,overexposed highlights,,,,,,,,the interior of a car dashboard at night,"A ATM security camera image of the interior of a car dashboard at night, with harsh overhead fluorescent lighting, overexposed highlights"
39,scene,high,png,100,underwater camera photo,neon lighting,inconsistent shadows,as if screenshotted from TikTok,,,,,,,a group photo at an event,"A underwater camera photo of a group photo at an event, with neon lighting, inconsistent shadows, as if screenshotted from TikTok"
40,nature,medium,png,100,selfie,harsh overhead fluorescent lighting,digital zoom pixelation,as if screenshotted from TikTok,,,,,,,a mountain range at sunset,"A selfie of a mountain range at sunset, with harsh overhead fluorescent lighting, digital zoom pixelation, as if screenshotted from TikTok"
41,face,low,png,100,street photography shot,neon lighting,,as if screenshotted from TikTok,Eastern European,,young,person,outdoor park,,,"A street photography shot of a young Eastern European person in outdoor park, with neon lighting, as if screenshotted from TikTok"
42,scene,high,webp,42,street photography shot,backlit with rim lighting,overexposed highlights,as if saved from a YouTube video at 480p,,,,,,,a video call screenshot with multiple participants,"A street photography shot of a video call screenshot with multiple participants, with backlit with rim lighting, overexposed highlights, as if saved from a YouTube video at 480p"
43,face,low,png,100,large format film photo,very low ambient light,,,Central Asian,medium skin,young,person,outdoor park,face mid-expression with motion blur,,"A large format film photo of a young Central Asian person with medium skin in outdoor park, with very low ambient light, face mid-expression with motion blur"
44,scene,high,webp,71,helmet-mounted camera capture,dramatic side lighting,color banding,as if saved from a YouTube video at 480p,,,,,,,commuters on a subway car,"A helmet-mounted camera capture of commuters on a subway car, with dramatic side lighting, color banding, as if saved from a YouTube video at 480p"
45,scene,low,webp,54,smartphone photo,tungsten indoor lighting with warm cast,color banding,,,,,,,,a crowded market street,"A smartphone photo of a crowded market street, with tungsten indoor lighting with warm cast, color banding"
46,nature,medium,jpeg,96,photojournalist shot,tungsten indoor lighting with warm cast,overexposed highlights,,,,,,,,a horse standing in a pasture,"A photojournalist shot of a horse standing in a pasture, with tungsten indoor lighting with warm cast, overexposed highlights"
47,face,high,png,100,large format film photo,mixed indoor-outdoor lighting,,,West African,very light skin,middle-aged,person,stairwell,wearing sunglasses,,"A large format film photo of a middle-aged West African person with very light skin in stairwell, with mixed indoor-outdoor lighting, wearing sunglasses"
48,nature,medium,png,100,infrared camera image,golden hour sunlight,,,,,,,,,an ID card or passport lying on a table,"A infrared camera image of an ID card or passport lying on a table, with golden hour sunlight"
49,nature,low,webp,34,security camera CCTV footage,backlit with rim lighting,,,,,,,,,an old European cathedral exterior,"A security camera CCTV footage of an old European cathedral exterior, with backlit with rim lighting"
50,face,low,jpeg,33,security camera CCTV footage,golden hour sunlight,,as if screenshotted from TikTok,East Asian,,middle-aged,man,plain studio background,,,"A security camera CCTV footage of a middle-aged East Asian man in plain studio background, with golden hour sunlight, as if screenshotted from TikTok"
51,face,high,webp,88,panoramic photo,flat overcast daylight,digital zoom pixelation,as if screenshotted from TikTok,Southern European,,elderly,woman,government building,face partially occluded,,"A panoramic photo of a elderly Southern European woman in government building, with flat overcast daylight, digital zoom pixelation, face partially occluded, as if screenshotted from TikTok"
52,face,medium,jpeg,66,dashcam footage,backlit with rim lighting,,,Latino,,elderly,man,bathroom mirror,face on a screen within the image,,"A dashcam footage of a elderly Latino man in bathroom mirror, with backlit with rim lighting, face on a screen within the image"
53,scene,low,webp,49,photo taken of a TV screen,neon lighting,overexposed highlights,,,,,,,,commuters on a subway car,"A photo taken of a TV screen of commuters on a subway car, with neon lighting, overexposed highlights"
54,face,high,webp,80,HDR photo with tone-mapped highlights,candlelight,heavy JPEG compression artifacts,,African American,dark brown skin,elderly,man,construction site,wearing sunglasses,,"A HDR photo with tone-mapped highlights of a elderly African American man with dark brown skin in construction site, with candlelight, heavy JPEG compression artifacts, wearing sunglasses"
55,scene,medium,png,100,old flip phone camera photo,mixed indoor-outdoor lighting,heavy noise or grain,,,,,,,,a courtroom during a hearing,"A old flip phone camera photo of a courtroom during a hearing, with mixed indoor-outdoor lighting, heavy noise or grain"
56,scene,low,jpeg,33,infrared camera image,neon lighting,,,,,,,,,a sports stadium crowd,"A infrared camera image of a sports stadium crowd, with neon lighting"
57,nature,high,png,100,thermal imaging camera capture,direct flash,digital zoom pixelation,as if shared on Twitter with reduced resolution,,,,,,,a savanna with acacia trees,"A thermal imaging camera capture of a savanna with acacia trees, with direct flash, digital zoom pixelation, as if shared on Twitter with reduced resolution"
58,scene,low,png,100,candid photo taken from a distance,blue hour twilight,inconsistent shadows,as if shared on Twitter with reduced resolution,,,,,,,a swimming pool with people around it,"A candid photo taken from a distance of a swimming pool with people around it, with blue hour twilight, inconsistent shadows, as if shared on Twitter with reduced resolution"
59,face,medium,jpeg,34,HDR photo with tone-mapped highlights,golden hour sunlight,digital zoom pixelation,,Middle Eastern,brown skin,elderly,man,government building,multiple faces overlapping,,"A HDR photo with tone-mapped highlights of a elderly Middle Eastern man with brown skin in government building, with golden hour sunlight, digital zoom pixelation, multiple faces overlapping"
60,face,low,png,100,documentary-style photo,candlelight,color banding,,African American,,middle-aged,person,cafe or restaurant,,,"A documentary-style photo of a middle-aged African American person in cafe or restaurant, with candlelight, color banding"
61,face,high,png,100,infrared camera image,candlelight,overexposed highlights,as if forwarded on Telegram multiple times,East Asian,olive skin,young,man,bedroom,,,"A infrared camera image of a young East Asian man with olive skin in bedroom, with candlelight, overexposed highlights, as if forwarded on Telegram multiple times"
62,face,high,jpeg,85,tablet camera photo,candlelight,overexposed highlights,,African American,,young,person,government building,face partially in shadow,,"A tablet camera photo of a young African American person in government building, with candlelight, overexposed highlights, face partially in shadow"
63,nature,medium,png,100,photo with Instagram-style filter applied,harsh overhead fluorescent lighting,digital zoom pixelation,,,,,,,,a frozen lake surrounded by snow-covered trees,"A photo with Instagram-style filter applied of a frozen lake surrounded by snow-covered trees, with harsh overhead fluorescent lighting, digital zoom pixelation"
64,face,high,png,100,street photography shot,dappled shade under trees,,,North African,,elderly,person,construction site,face partially occluded,,"A street photography shot of a elderly North African person in construction site, with dappled shade under trees, face partially occluded"
65,face,low,jpeg,55,photojournalist shot,tungsten indoor lighting with warm cast,overexposed highlights,,Eastern European,very dark skin,middle-aged,man,inside a vehicle,face through glass,,"A photojournalist shot of a middle-aged Eastern European man with very dark skin in inside a vehicle, with tungsten indoor lighting with warm cast, overexposed highlights, face through glass"
66,face,high,png,100,medical clinical photo,dramatic side lighting,heavy JPEG compression artifacts,,East African,,elderly,woman,busy street,wearing sunglasses,,"A medical clinical photo of a elderly East African woman in busy street, with dramatic side lighting, heavy JPEG compression artifacts, wearing sunglasses"
67,nature,medium,webp,70,food photography close-up,harsh overhead fluorescent lighting,digital zoom pixelation,as if shared on Twitter with reduced resolution,,,,,,,a car parked on a suburban street,"A food photography close-up of a car parked on a suburban street, with harsh overhead fluorescent lighting, digital zoom pixelation, as if shared on Twitter with reduced resolution"
68,face,high,png,100,tablet camera photo,dappled shade under trees,lens distortion,,Indigenous,,young,person,hospital corridor,,,"A tablet camera photo of a young Indigenous person in hospital corridor, with dappled shade under trees, lens distortion"
69,face,low,jpeg,89,night vision camera image,harsh overhead fluorescent lighting,inconsistent shadows,,Southern European,,middle-aged,man,cafe or restaurant,wearing sunglasses,,"A night vision camera image of a middle-aged Southern European man in cafe or restaurant, with harsh overhead fluorescent lighting, inconsistent shadows, wearing sunglasses"
70,nature,low,jpeg,55,GoPro wide-angle action shot,direct flash,,,,,,,,,an ID card or passport lying on a table,"A GoPro wide-angle action shot of an ID card or passport lying on a table, with direct flash"
71,face,low,png,100,night vision camera image,tungsten indoor lighting with warm cast,chromatic aberration,,North African,light skin,elderly,person,parking garage,face reflected in mirror,,"A night vision camera image of a elderly North African person with light skin in parking garage, with tungsten indoor lighting with warm cast, chromatic aberration, face reflected in mirror"
72,face,low,jpeg,85,street photography shot,very low ambient light,heavy noise or grain,,East Asian,,elderly,woman,government building,,,"A street photography shot of a elderly East Asian woman in government building, with very low ambient light, heavy noise or grain"
73,face,low,jpeg,98,medium format film photo,candlelight,chromatic aberration,,South Asian,very light skin,middle-aged,woman,construction site,,,"A medium format film photo of a middle-aged South Asian woman with very light skin in construction site, with candlelight, chromatic aberration"
74,scene,low,jpeg,52,tablet camera photo,backlit with rim lighting,digital zoom pixelation,,,,,,,,a concert audience,"A tablet camera photo of a concert audience, with backlit with rim lighting, digital zoom pixelation"
75,face,low,png,100,smartphone photo,direct flash,digital zoom pixelation,as if downloaded from Instagram,Eastern European,dark brown skin,middle-aged,man,dimly lit room,face on a screen within the image,,"A smartphone photo of a middle-aged Eastern European man with dark brown skin in dimly lit room, with direct flash, digital zoom pixelation, face on a screen within the image, as if downloaded from Instagram"
76,nature,high,png,100,mirrorless camera photo,direct flash,chromatic aberration,as if saved from a YouTube video at 480p,,,,,,,a receipt or invoice on a countertop,"A mirrorless camera photo of a receipt or invoice on a countertop, with direct flash, chromatic aberration, as if saved from a YouTube video at 480p"
77,face,medium,png,100,video still frame,nighttime artificial lighting,slight motion blur,,Indigenous,olive skin,young,man,bathroom mirror,extreme close-up,,"A video still frame of a young Indigenous man with olive skin in bathroom mirror, with nighttime artificial lighting, slight motion blur, extreme close-up"
78,scene,medium,png,100,ATM security camera image,neon lighting,heavy JPEG compression artifacts,,,,,,,,a gym with people exercising,"A ATM security camera image of a gym with people exercising, with neon lighting, heavy JPEG compression artifacts"
79,face,low,webp,74,photo of a screen showing another image,nighttime artificial lighting,heavy noise or grain,,Eastern European,,elderly,person,bedroom,,,"A photo of a screen showing another image of a elderly Eastern European person in bedroom, with nighttime artificial lighting, heavy noise or grain"
80,nature,high,webp,52,product photography on white background,candlelight,lens distortion,as if forwarded on Telegram multiple times,,,,,,,a subway station tunnel with graffiti,"A product photography on white background of a subway station tunnel with graffiti, with candlelight, lens distortion, as if forwarded on Telegram multiple times"
81,scene,medium,png,100,large format film photo,dramatic side lighting,lens distortion,,,,,,,,a street market with vendors and shoppers,"A large format film photo of a street market with vendors and shoppers, with dramatic side lighting, lens distortion"
82,scene,high,png,100,documentary-style photo,nighttime artificial lighting,,as if forwarded on Telegram multiple times,,,,,,,a family gathering around a table,"A documentary-style photo of a family gathering around a table, with nighttime artificial lighting, as if forwarded on Telegram multiple times"
83,face,high,png,100,large format film photo,candlelight,heavy JPEG compression artifacts,as if saved from a YouTube video at 480p,Northern European,,young,woman,dimly lit room,face mid-expression with motion blur,,"A large format film photo of a young Northern European woman in dimly lit room, with candlelight, heavy JPEG compression artifacts, face mid-expression with motion blur, as if saved from a YouTube video at 480p"
84,face,medium,webp,78,selfie,dramatic side lighting,,as if saved from a YouTube video at 480p,Eastern European,,elderly,man,stairwell,,,"A selfie of a elderly Eastern European man in stairwell, with dramatic side lighting, as if saved from a YouTube video at 480p"
85,nature,low,jpeg,99,tablet camera photo,blue hour twilight,overexposed highlights,as if forwarded on Telegram multiple times,,,,,,,a menu board outside a restaurant,"A tablet camera photo of a menu board outside a restaurant, with blue hour twilight, overexposed highlights, as if forwarded on Telegram multiple times"
86,scene,low,webp,62,selfie,blue hour twilight,overexposed highlights,,,,,,,,a swimming pool with people around it,"A selfie of a swimming pool with people around it, with blue hour twilight, overexposed highlights"
87,nature,low,webp,68,thermal imaging camera capture,harsh overhead fluorescent lighting,inconsistent shadows,,,,,,,,a receipt or invoice on a countertop,"A thermal imaging camera capture of a receipt or invoice on a countertop, with harsh overhead fluorescent lighting, inconsistent shadows"
88,face,high,webp,79,photo of a screen showing another image,mixed indoor-outdoor lighting,heavy JPEG compression artifacts,as if shared on WhatsApp with compression,Southern European,,young,woman,outdoor park,,,"A photo of a screen showing another image of a young Southern European woman in outdoor park, with mixed indoor-outdoor lighting, heavy JPEG compression artifacts, as if shared on WhatsApp with compression"
89,nature,high,webp,85,HDR photo with tone-mapped highlights,mixed indoor-outdoor lighting,digital zoom pixelation,,,,,,,,a cat sleeping on a windowsill,"A HDR photo with tone-mapped highlights of a cat sleeping on a windowsill, with mixed indoor-outdoor lighting, digital zoom pixelation"
90,nature,medium,jpeg,87,photo with Instagram-style filter applied,soft natural daylight,,,,,,,,,a car parked on a suburban street,"A photo with Instagram-style filter applied of a car parked on a suburban street, with soft natural daylight"
91,face,low,jpeg,65,dating app profile photo,harsh overhead fluorescent lighting,,,African American,,middle-aged,man,construction site,wearing sunglasses,,"A dating app profile photo of a middle-aged African American man in construction site, with harsh overhead fluorescent lighting, wearing sunglasses"
92,nature,high,jpeg,66,scanned printed photograph,backlit with rim lighting,,as if downloaded from Instagram,,,,,,,a street sign at an intersection,"A scanned printed photograph of a street sign at an intersection, with backlit with rim lighting, as if downloaded from Instagram"
93,nature,low,png,100,early 2000s digital camera photo,very low ambient light,,as if shared on WhatsApp with compression,,,,,,,a subway station tunnel with graffiti,"A early 2000s digital camera photo of a subway station tunnel with graffiti, with very low ambient light, as if shared on WhatsApp with compression"
94,scene,high,jpeg,94,tablet camera photo,tungsten indoor lighting with warm cast,digital zoom pixelation,as if shared on WhatsApp with compression,,,,,,,a video call screenshot with multiple participants,"A tablet camera photo of a video call screenshot with multiple participants, with tungsten indoor lighting with warm cast, digital zoom pixelation, as if shared on WhatsApp with compression"
95,face,low,jpeg,85,photo with heavy beauty filter,direct flash,heavy noise or grain,as if saved from a YouTube video at 480p,West African,dark brown skin,elderly,woman,hospital corridor,,,"A photo with heavy beauty filter of a elderly West African woman with dark brown skin in hospital corridor, with direct flash, heavy noise or grain, as if saved from a YouTube video at 480p"
96,scene,medium,webp,51,doorbell camera capture,direct flash,overexposed highlights,as if downloaded from Instagram,,,,,,,a sports stadium crowd,"A doorbell camera capture of a sports stadium crowd, with direct flash, overexposed highlights, as if downloaded from Instagram"
97,scene,high,jpeg,58,old flip phone camera photo,very low ambient light,,,,,,,,,a barbershop with customers waiting,"A old flip phone camera photo of a barbershop with customers waiting, with very low ambient light"
98,face,high,jpeg,33,mugshot-style photo,screen-lit in a dark room,digital zoom pixelation,,Pacific Islander,,elderly,woman,busy street,wearing sunglasses,,"A mugshot-style photo of a elderly Pacific Islander woman in busy street, with screen-lit in a dark room, digital zoom pixelation, wearing sunglasses"
99,scene,high,webp,55,doorbell camera capture,soft natural daylight,,,,,,,,,a church congregation during service,"A doorbell camera capture of a church congregation during service, with soft natural daylight"
100,scene,low,webp,77,photo with Instagram-style filter applied,nighttime artificial lighting,,as if downloaded from Instagram,,,,,,,a street market with vendors and shoppers,"A photo with Instagram-style filter applied of a street market with vendors and shoppers, with nighttime artificial lighting, as if downloaded from Instagram"
101,face,low,jpeg,87,DSLR photo,golden hour sunlight,,,Indigenous,dark brown skin,elderly,woman,home interior,,,"A DSLR photo of a elderly Indigenous woman with dark brown skin in home interior, with golden hour sunlight"
102,face,low,jpeg,89,security camera CCTV footage,mixed indoor-outdoor lighting,inconsistent shadows,,Middle Eastern,,middle-aged,woman,plain studio background,extreme close-up,,"A security camera CCTV footage of a middle-aged Middle Eastern woman in plain studio background, with mixed indoor-outdoor lighting, inconsistent shadows, extreme close-up"
103,face,medium,jpeg,50,body camera footage,golden hour sunlight,lens distortion,,West African,brown skin,middle-aged,person,hospital corridor,,,"A body camera footage of a middle-aged West African person with brown skin in hospital corridor, with golden hour sunlight, lens distortion"
104,scene,medium,png,100,mirrorless camera photo,backlit with rim lighting,,as if screenshotted from TikTok,,,,,,,a protest march with crowds,"A mirrorless camera photo of a protest march with crowds, with backlit with rim lighting, as if screenshotted from TikTok"
105,face,low,webp,37,medium format film photo,very low ambient light,color banding,,Northern European,,young,woman,elevator,face reflected in mirror,,"A medium format film photo of a young Northern European woman in elevator, with very low ambient light, color banding, face reflected in mirror"
106,face,low,png,100,photo of a screen showing another image,nighttime artificial lighting,slight motion blur,,Central Asian,medium skin,young,woman,rooftop with skyline,face very small in frame,,"A photo of a screen showing another image of a young Central Asian woman with medium skin in rooftop with skyline, with nighttime artificial lighting, slight motion blur, face very small in frame"
107,scene,low,png,100,candid photo taken from a distance,backlit with rim lighting,,,,,,,,,a concert audience,"A candid photo taken from a distance of a concert audience, with backlit with rim lighting"
108,face,low,webp,42,body camera footage,flat overcast daylight,,,African American,,middle-aged,woman,plain studio background,face on a screen within the image,,"A body camera footage of a middle-aged African American woman in plain studio background, with flat overcast daylight, face on a screen within the image"
109,scene,low,jpeg,43,security camera CCTV footage,neon lighting,slight motion blur,as if screenshotted from TikTok,,,,,,,a wedding reception,"A security camera CCTV footage of a wedding reception, with neon lighting, slight motion blur, as if screenshotted from TikTok"
110,face,low,png,100,portrait mode photo with artificial bokeh,harsh overhead fluorescent lighting,slight motion blur,,West African,,middle-aged,man,bathroom mirror,face partially occluded,,"A portrait mode photo with artificial bokeh of a middle-aged West African man in bathroom mirror, with harsh overhead fluorescent lighting, slight motion blur, face partially occluded"
111,face,low,png,100,video still frame,harsh overhead fluorescent lighting,,as if saved from a YouTube video at 480p,North African,light skin,elderly,man,dimly lit room,wearing sunglasses,,"A video still frame of a elderly North African man with light skin in dimly lit room, with harsh overhead fluorescent lighting, wearing sunglasses, as if saved from a YouTube video at 480p"
112,scene,low,jpeg,85,tablet camera photo,direct flash,heavy noise or grain,,,,,,,,a train station platform during rush hour,"A tablet camera photo of a train station platform during rush hour, with direct flash, heavy noise or grain"
113,nature,medium,jpeg,84,low quality compressed webcam image,nighttime artificial lighting,slight motion blur,as if screenshotted from TikTok,,,,,,,an ocean coastline with waves crashing on rocks,"A low quality compressed webcam image of an ocean coastline with waves crashing on rocks, with nighttime artificial lighting, slight motion blur, as if screenshotted from TikTok"
114,scene,medium,jpeg,69,parking lot surveillance camera footage,golden hour sunlight,,,,,,,,,a restaurant interior with diners,"A parking lot surveillance camera footage of a restaurant interior with diners, with golden hour sunlight"
115,face,low,png,100,webcam image from a video call,direct flash,heavy noise or grain,,Indigenous,very dark skin,young,person,bathroom mirror,,,"A webcam image from a video call of a young Indigenous person with very dark skin in bathroom mirror, with direct flash, heavy noise or grain"
116,face,medium,jpeg,55,mugshot-style photo,dappled shade under trees,heavy noise or grain,,South Asian,,middle-aged,woman,government building,face reflected in mirror,,"A mugshot-style photo of a middle-aged South Asian woman in government building, with dappled shade under trees, heavy noise or grain, face reflected in mirror"
